image_path;class;split;Kfold_04;Kfold_08
.\data\img\Beella_digitata\00001-Beella_digitata.jpg;Beella_digitata;1;1;3
.\data\img\Beella_digitata\00002-Beella_digitata.jpg;Beella_digitata;1;1;3
.\data\img\Beella_digitata\00003-Beella_digitata.jpg;Beella_digitata;1;1;3
.\data\img\Beella_digitata\00004-Beella_digitata.jpg;Beella_digitata;1;2;5
.\data\img\Beella_digitata\00005-Beella_digitata.jpg;Beella_digitata;0;0;0
.\data\img\Beella_digitata\00006-Beella_digitata.jpg;Beella_digitata;1;1;2
.\data\img\Beella_digitata\00007-Beella_digitata.jpg;Beella_digitata;1;3;7
.\data\img\Beella_digitata\00008-Beella_digitata.jpg;Beella_digitata;1;2;5
.\data\img\Beella_digitata\00009-Beella_digitata.jpg;Beella_digitata;1;3;7
.\data\img\Beella_digitata\00010-Beella_digitata.jpg;Beella_digitata;0;0;1
.\data\img\Beella_digitata\00011-Beella_digitata.jpg;Beella_digitata;1;2;5
.\data\img\Beella_digitata\00012-Beella_digitata.jpg;Beella_digitata;1;0;1
.\data\img\Beella_digitata\00013-Beella_digitata.jpg;Beella_digitata;1;1;2
.\data\img\Beella_digitata\00014-Beella_digitata.jpg;Beella_digitata;1;3;6
.\data\img\Beella_digitata\00015-Beella_digitata.jpg;Beella_digitata;1;3;6
.\data\img\Beella_digitata\00016-Beella_digitata.jpg;Beella_digitata;1;0;1
.\data\img\Beella_digitata\00017-Beella_digitata.jpg;Beella_digitata;1;1;3
.\data\img\Beella_digitata\00018-Beella_digitata.jpg;Beella_digitata;1;2;4
.\data\img\Beella_digitata\00019-Beella_digitata.jpg;Beella_digitata;0;0;0
.\data\img\Beella_digitata\00020-Beella_digitata.jpg;Beella_digitata;1;3;6
.\data\img\Beella_digitata\00021-Beella_digitata.jpg;Beella_digitata;0;0;1
.\data\img\Beella_digitata\00022-Beella_digitata.jpg;Beella_digitata;1;1;2
.\data\img\Beella_digitata\00023-Beella_digitata.jpg;Beella_digitata;0;0;0
.\data\img\Beella_digitata\00024-Beella_digitata.jpg;Beella_digitata;1;2;5
